Fecha,Est1,Est2,Est3
2015-05-11,0.0,0.0,0.0
2015-05-12,3.0,0.0,1.6
2015-05-13,1.0,0.0,0.6000000000000001
2015-05-14,0.2,0.0,0.4
2015-05-15,0.0,0.0,0.0
2015-05-16,0.0,0.0,0.0
2015-05-17,0.0,0.0,0.0
2015-05-18,0.0,0.0,0.0
2015-05-19,0.0,0.0,0.0
2015-05-20,2.0,0.0,0.8
2015-05-21,0.0,0.0,0.0
2015-05-22,0.0,0.0,0.0
2015-05-23,0.0,0.0,0.0
2015-05-24,0.0,0.0,0.0
2015-05-25,0.0,0.0,0.0
2015-05-26,0.0,0.0,0.0
2015-05-27,0.0,0.0,0.0
2015-05-28,0.0,0.0,0.0
2015-05-29,0.0,0.0,0.0
2015-05-30,0.0,0.0,0.0
2015-05-31,0.0,0.0,0.0
2015-06-01,0.4,0.0,0.4
2015-06-02,0.0,0.0,0.0
2015-06-03,0.0,0.0,0.0
2015-06-04,1.8,0.0,2.4
2015-06-05,11.99999999999999,0.0,8.000000000000004
2015-06-06,0.0,0.0,0.0
2015-06-07,0.0,0.0,0.0
2015-06-08,0.0,0.0,0.0
2015-06-09,0.0,0.0,0.0
2015-06-10,0.0,0.0,0.0
2015-06-11,0.0,0.0,0.0
2015-06-12,0.0,0.0,0.0
2015-06-13,0.0,0.0,0.0
2015-06-14,0.0,0.0,0.0
2015-06-15,0.0,0.0,0.0
2015-06-16,0.0,0.0,0.0
2015-06-17,0.0,0.0,0.0
2015-06-18,0.0,0.0,0.0
2015-06-19,0.0,0.0,0.0
2015-06-20,0.2,0.0,0.2
2015-06-21,0.0,0.0,0.0
2015-06-22,0.0,0.0,0.0
2015-06-23,0.0,0.0,0.0
2015-06-24,0.0,0.0,0.0
2015-06-25,3.800000000000001,2.2,0.0
2015-06-26,0.0,,0.4
2015-06-27,0.0,,0.0
2015-06-28,0.0,,0.0
2015-06-29,0.0,,0.0
2015-06-30,0.0,,0.0
2015-07-01,0.0,,0.0
2015-07-02,0.0,,0.0
2015-07-03,0.8,,1.0
2015-07-04,8.400000000000002,,8.200000000000003
2015-07-05,0.0,,0.0
2015-07-06,0.0,,0.0
2015-07-07,0.0,,0.0
2015-07-08,0.0,,0.0
2015-07-09,0.0,,0.0
2015-07-10,0.0,,0.0
2015-07-11,0.0,,0.0
2015-07-12,0.0,,0.0
2015-07-13,0.0,,0.0
2015-07-14,0.0,,0.0
2015-07-15,0.0,,0.0
2015-07-16,0.0,,0.0
2015-07-17,0.0,,0.0
2015-07-18,0.0,,0.0
2015-07-19,0.0,,0.0
2015-07-20,0.0,,0.0
2015-07-21,0.0,,0.0
2015-07-22,0.0,,0.0
2015-07-23,0.0,,0.0
2015-07-24,0.0,,0.0
2015-07-25,0.2,,0.4
2015-07-26,0.0,,0.0
2015-07-27,0.0,,0.0
2015-07-28,0.0,,0.0
2015-07-29,0.0,,0.0
2015-07-30,0.0,,0.0
2015-07-31,0.0,,0.0
2015-08-01,2.8,,1.4
2015-08-02,0.0,,0.0
2015-08-03,0.0,,0.0
2015-08-04,0.0,,0.0
2015-08-05,0.0,,0.0
2015-08-06,0.0,,0.0
2015-08-07,0.0,,0.0
2015-08-08,3.200000000000001,,3.600000000000001
2015-08-09,0.0,,0.0
2015-08-10,0.0,,0.0
2015-08-11,0.6000000000000001,,1.0
2015-08-12,14.59999999999998,,13.79999999999998
2015-08-13,10.2,,7.200000000000004
2015-08-14,0.6000000000000001,,0.4
2015-08-15,0.2,,0.0
2015-08-16,0.0,,0.0
2015-08-17,0.6000000000000001,,0.2
2015-08-18,0.4,,0.4
2015-08-19,0.0,,0.0
2015-08-20,0.0,,0.0
2015-08-21,0.0,,0.0
2015-08-22,0.0,,0.0
2015-08-23,0.0,,0.0
2015-08-24,0.0,,0.0
2015-08-25,0.0,,0.0
2015-08-26,0.0,,0.0
2015-08-27,0.0,,0.0
2015-08-28,0.0,,0.0
2015-08-29,0.0,,0.0
2015-08-30,0.0,,0.0
2015-08-31,0.0,,0.2
2015-09-01,1.2,,1.2
2015-09-02,0.0,,0.0
2015-09-03,0.0,,0.0
2015-09-04,0.0,,0.0
2015-09-05,0.0,,0.0
2015-09-06,0.0,,0.0
2015-09-07,0.0,,0.0
2015-09-08,0.0,,0.0
2015-09-09,0.0,,0.0
2015-09-10,0.0,,0.0
2015-09-11,0.0,,0.0
2015-09-12,0.0,,0.0
2015-09-13,0.0,,0.0
2015-09-14,0.0,,0.0
2015-09-15,0.0,,0.0
2015-09-16,4.200000000000001,,3.600000000000001
2015-09-17,0.0,,0.0
2015-09-18,0.0,,0.0
2015-09-19,0.2,,0.0
2015-09-20,0.0,,0.0
2015-09-21,0.2,,0.0
2015-09-22,0.0,,0.0
2015-09-23,0.0,,0.0
2015-09-24,6.000000000000003,,3.800000000000001
2015-09-25,9.0,,8.600000000000001
2015-09-26,0.0,,0.0
2015-09-27,0.0,,0.0
2015-09-28,0.0,,0.0
2015-09-29,0.0,,0.0
2015-09-30,0.0,,0.0
2015-10-01,0.0,,0.0
2015-10-02,0.0,,0.0
2015-10-03,4.800000000000002,,4.600000000000001
2015-10-04,0.0,,0.0
2015-10-05,0.0,,0.0
2015-10-06,0.4,,0.2
2015-10-07,0.4,,0.8
2015-10-08,0.4,,0.2
2015-10-09,0.0,,0.0
2015-10-10,0.0,,0.0
2015-10-11,0.0,,0.0
2015-10-12,0.0,,0.0
2015-10-13,0.0,,0.0
2015-10-14,0.0,,0.0
2015-10-15,0.0,,0.0
2015-10-16,0.0,,0.0
2015-10-17,2.4,,2.4
2015-10-18,0.8,,0.6000000000000001
2015-10-19,0.0,,0.0
2015-10-20,0.0,,0.0
2015-10-21,0.2,,0.4
2015-10-22,0.4,,0.4
2015-10-23,0.2,,0.0
2015-10-24,1.8,,2.6
2015-10-25,0.2,,0.0
2015-10-26,10.99999999999999,,11.39999999999999
